method,backbone,dataset,configuration,configuration_role,protocol,native_evaluation_role,baseline_reference_protocol,count_in_primary_summary,task_adaptation,status,n_units,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_I_dAUC_auc_selector_mean,tau_I_dAUC_auc_selector_lo,tau_I_dAUC_auc_selector_hi,tau_I_dAUC_auc_selector_sign_stability,tau_I_dAUC_auc_selector_resolved,tau_I_negDP_auc_selector_mean,tau_I_negDP_auc_selector_lo,tau_I_negDP_auc_selector_hi,tau_I_negDP_auc_selector_sign_stability,tau_I_negDP_auc_selector_resolved,tau_I_negEO_auc_selector_mean,tau_I_negEO_auc_selector_lo,tau_I_negEO_auc_selector_hi,tau_I_negEO_auc_selector_sign_stability,tau_I_negEO_auc_selector_resolved,nonint_larger_negDP,nonint_larger_negEO,caveat
BIND,GCN,bail,10pct,robustness,controlled,,same_protocol,False,,complete,30,0.10490532581511176,0.056788469152128686,0.1536155111374116,-0.040558445196880046,-0.05709778495501551,-0.02257357276126283,-0.02089705897021762,-0.03807638945728003,-0.002737344029698054,-0.0009330622671601378,-0.004537822018629251,0.0031723891481950698,0.6333333333333333,False,0.00325887807491695,-0.0013205214254592664,0.009124920114257395,0.5,False,-0.0001717957713975628,-0.005999669543105304,0.0071635347216177665,0.5333333333333333,False,0.10397226354795162,0.05545561911618554,0.15319404569579773,-0.03729956712196308,-0.05247980652928683,-0.02036665867147972,-0.02106885474161519,-0.03666754176965117,-0.004233995652741833,-0.00899937271624324,-0.013121386390212842,-0.005327045556642259,0.9,False,-0.0002290074556824261,-0.014562492961706312,0.010615486288860767,0.5666666666666667,False,-0.006659045930743851,-0.012426713274607126,-0.0012891797677092184,0.7,False,True,True,"the published 1% / 10% budgets are applied as fractions of the training set; on bail (|train| = 100) that is 1 and 10 deleted nodes; no native cell: the published influence estimator reads test labels; the controlled cells use the same estimator with its fairness cost on validation nodes; robustness configuration: shares data, splits and baseline with the primary configuration of the same dataset, never pooled into primary counts"
BIND,GCN,income,10pct,robustness,controlled,,same_protocol,False,,complete,30,0.12566931304656567,0.11628251760571183,0.13419064237951406,-0.06121158287960717,-0.09570979522649432,-0.016403870506816638,-0.08870439958652267,-0.1352678988046526,-0.025930122836334498,-0.00045187362181119036,-0.0018574344156936952,0.0008940471037604705,0.5666666666666667,False,0.052974741718479615,0.04676197453302405,0.058611888817886204,1.0,True,0.06971662593528913,0.050394751723335185,0.08767561559406503,0.9666666666666667,True,0.12521743942475447,0.11538948003575407,0.1340597175707642,-0.008236841161127547,-0.041215695492608985,0.03444071035030727,-0.018987773651233542,-0.06578213974842013,0.041797509517601965,-0.0008010564928538207,-0.0027369625001090253,0.0013317529339040054,0.6666666666666666,False,0.0956695432215355,0.07356385231907801,0.11671789170838932,0.9333333333333333,True,0.12314412048012083,0.10105461852081674,0.1440522539944592,0.9333333333333333,True,True,True,"the published 1% / 10% budgets are applied as fractions of the training set; on income (|train| = 4605) that is 46 and 461 deleted nodes; no native cell: the published influence estimator reads test labels; the controlled cells use the same estimator with its fairness cost on validation nodes; robustness configuration: shares data, splits and baseline with the primary configuration of the same dataset, never pooled into primary counts"
BIND,GCN,bail,1pct,primary,controlled,,same_protocol,True,,complete,30,0.10490348592731367,0.05678681939138427,0.15361559954449858,-0.040572492113581826,-0.05711858166654308,-0.022573704603697474,-0.02089705897021762,-0.03807638945728003,-0.002737344029698054,0.0007436080320891528,-0.0017406709716852676,0.003803196274128358,0.6333333333333333,False,0.0005513076003535531,-0.002150186124113708,0.0030923247867115423,0.6333333333333333,False,-0.0006720886592446126,-0.006770891044431968,0.00624342972207324,0.5333333333333333,False,0.10564709395940282,0.0575155511972217,0.15453966413852688,-0.04002118451322827,-0.055636361250182516,-0.023417395284579458,-0.021569147629462233,-0.037818920665776794,-0.003525984820442691,-0.002590297356479798,-0.005512601110922347,0.0004772798091159726,0.7666666666666667,False,-0.0015302217233638053,-0.006628175486578194,0.003099951411492041,0.5333333333333333,False,-0.0013787229496622366,-0.005975667761879561,0.002864447550175065,0.5666666666666667,False,True,True,the published 1% / 10% budgets are applied as fractions of the training set; on bail (|train| = 100) that is 1 and 10 deleted nodes; no native cell: the published influence estimator reads test labels; the controlled cells use the same estimator with its fairness cost on validation nodes
BIND,GCN,income,1pct,primary,controlled,,same_protocol,True,,complete,30,0.1260522352236639,0.11396585023122756,0.13605179105023973,-0.070010184899557,-0.09907188412444806,-0.03420199361022988,-0.09487715035572712,-0.1374822935821276,-0.04943052091403949,-0.00039890884553231973,-0.0016035321957631867,0.0006843389777140416,0.5,False,0.04233838199071894,0.035540510733260734,0.048781209761123455,1.0,True,0.05426966250573333,0.03591469904803848,0.07041229365763467,0.9666666666666667,True,0.12565332637813162,0.11331244645788768,0.1359356106542709,-0.027671802908838077,-0.05703367200151379,0.008466477345386605,-0.040607487849993795,-0.07668678257439836,-0.0006236952009338578,-0.0002797595479233195,-0.0010720158659819617,0.000494300852798671,0.5333333333333333,False,0.0010534832102391664,-0.021577467667431557,0.021740915095051848,0.5666666666666667,False,0.003119263000863491,-0.027398026244419844,0.032521380837827636,0.6,False,True,True,the published 1% / 10% budgets are applied as fractions of the training set; on income (|train| = 4605) that is 46 and 461 deleted nodes; no native cell: the published influence estimator reads test labels; the controlled cells use the same estimator with its fairness cost on validation nodes
BeMap,GCN,bail,default,primary,controlled,,same_protocol,True,,complete,30,0.11075651977155546,0.06377323830902763,0.15903899862209303,-0.057615827234166334,-0.07207560985553665,-0.043582594141358795,-0.03207150156322622,-0.04798217761736412,-0.01630945301695485,-0.13926478721330915,-0.20755379423766274,-0.0914483663709581,1.0,True,0.059653184001909734,0.041908943965722735,0.074071556131283,1.0,True,0.024302717449657976,0.015530477798005505,0.03631378455986772,1.0,True,-0.02850826744175368,-0.10730453472075542,0.04302299193306455,0.0020373567677433933,-0.022593052925365533,0.024536097634774334,-0.00776878411356825,-0.02329558805535516,0.007321317497845994,-0.1366588173290518,-0.19012106692893202,-0.09367428176137403,1.0,True,0.04376194697981628,0.02752992017770442,0.06065655156529135,1.0,True,0.012121332324295289,0.0026529793487742787,0.020988810573215083,0.7666666666666667,True,False,True,no native cell: the official training loop selects on the test split
BeMap,GCN,credit,default,primary,controlled,,same_protocol,True,,complete,30,0.03046831036532817,0.023783090454405603,0.03739438848079698,0.029820687944359145,-0.0008217179343646354,0.05803401381366188,0.025972769339326858,-0.007777778716646846,0.0576349864231934,-0.035780285254646965,-0.04396534631123059,-0.030817114444644314,1.0,True,0.0224973836925205,-0.019565803307296438,0.06667254946249536,0.7,False,0.01621953950236466,-0.029282037753941902,0.063426693881549,0.7,False,-0.005311974889318801,-0.015754926221653674,0.003080280701946294,0.05231807163687965,0.018017671257480626,0.0842041454282607,0.04219230884169152,0.0034997107277396425,0.07759358565399932,-0.010408815321924088,-0.011873250276042937,-0.008841327700299302,1.0,True,0.04208993207355089,0.018636592409433,0.06873151975431972,0.9333333333333333,True,0.04423775963354222,0.02030827039704462,0.07293652522114186,0.9333333333333333,True,True,True,no native cell: the official training loop selects on the test split
BeMap,GCN,pokec_z,default,primary,controlled,,same_protocol,True,,complete,30,0.05313282569317581,0.04650183482832365,0.0601862776934257,-0.024244404967868317,-0.05506884821557531,0.005405481646392879,-0.015429458659064928,-0.0443936829491279,0.009893373685510494,-0.01507648894607736,-0.023918062716253637,-0.00742793022503243,0.9666666666666667,True,-0.06677784952252212,-0.1438367754066933,0.007416828385447914,0.7,False,-0.0397299099900194,-0.09708578505673592,0.013763942637296744,0.5333333333333333,False,0.038056336747098456,0.027964118900661236,0.04716864032447438,-0.09102225449039043,-0.15156595041199372,-0.03217401422013681,-0.055159368649084335,-0.09438093279763461,-0.019072165895083516,-0.016261522935939885,-0.024542374770468115,-0.009297573369265249,1.0,True,-0.06924028723801504,-0.14952488515814524,0.006306199398604374,0.6,False,-0.05425742229405973,-0.11500024097855716,0.002667083113216174,0.6,False,False,False,no native cell: the official training loop selects on the test split
BeMap,GAT,bail,GAT,robustness,controlled,,same_protocol,False,,complete,30,0.14340693267171353,0.09523873724004332,0.19164493526401022,-0.0666531373106141,-0.08269486980223455,-0.05172293374822454,-0.042960714516004625,-0.05988695994589419,-0.027788993425090693,-0.09664649039967595,-0.14194411592721673,-0.06864023307520059,1.0,True,0.062080089261906786,0.04191881348561804,0.08204431431152624,1.0,True,0.03663845732765265,0.017581979458124074,0.05792529184945893,0.9,True,0.04676044227203757,-0.026186809898583602,0.10667001489575709,-0.004573048048707313,-0.027511471357684055,0.016387383282729536,-0.006322257188351986,-0.0255011229583851,0.010257040302216355,-0.10006333104256143,-0.13173583736004102,-0.07579598966958805,1.0,True,0.05262138286981473,0.03318155739084576,0.07136079172701985,1.0,True,0.025182537505287837,0.0074594855453372555,0.04343873925085423,0.7666666666666667,True,True,True,"no native cell: the official training loop selects on the test split; robustness configuration: shares data, splits and baseline with the primary configuration of the same dataset, never pooled into primary counts"
BeMap,GAT,credit,GAT,robustness,controlled,,same_protocol,False,,complete,30,0.01755238796288642,0.007599271578210269,0.027049452348118574,0.04691076087978991,0.025060217686602538,0.06843221088696459,0.049629895943082,0.025948492606070128,0.0738114634014423,-0.009132072591273044,-0.018019695383905514,-0.00017554380521910977,0.6666666666666666,False,0.028989667108674955,0.007643507007647204,0.05546382649702044,0.6,False,0.021924580323691788,0.0027680174199811395,0.0454424630148526,0.6,False,0.008420315371613373,0.002061760506479072,0.014627800637598248,0.07590042798846487,0.05161031361361301,0.10112807440192775,0.07155447626677379,0.048317435710209806,0.09547473850993497,-0.013937504061225726,-0.016244192382717737,-0.011487399863374263,1.0,True,0.011702738822228899,-0.0028580896736646075,0.02586275194668007,0.7,False,0.012624237920073294,-0.0037881941385831948,0.027988896158804313,0.7,False,True,True,"no native cell: the official training loop selects on the test split; robustness configuration: shares data, splits and baseline with the primary configuration of the same dataset, never pooled into primary counts"
BeMap,GAT,pokec_z,GAT,robustness,controlled,,same_protocol,False,,complete,30,0.02991724590648681,0.023366066921643162,0.03627693224834501,-0.046298216658030945,-0.07157314962801835,-0.023864222770471934,-0.04281380326226295,-0.06615853493038575,-0.02168026820506347,-0.004887343590763727,-0.012026301380100777,0.0019268390393976627,0.6333333333333333,False,-0.03791201960783487,-0.07829309035557282,-0.005590525548382056,0.7666666666666667,True,-0.01897621439571858,-0.05164224742750383,0.005318899118829143,0.6666666666666666,False,0.025029902315723086,0.0162107054749837,0.033587529075520504,-0.08421023626586581,-0.12924932637432948,-0.039919709918302175,-0.061790017657981526,-0.09410855706501617,-0.02915155492496187,-0.0057738090232145635,-0.014355329816083447,0.002507804999135678,0.6333333333333333,False,-0.02601344126765337,-0.06854234947970592,0.015258602135870795,0.5666666666666667,False,-0.015574204727475702,-0.04579634738283991,0.01462563826310574,0.6333333333333333,False,True,True,"no native cell: the official training loop selects on the test split; robustness configuration: shares data, splits and baseline with the primary configuration of the same dataset, never pooled into primary counts"
